Invoice ID,Date,City,Branch,Customer Type,Gender,Product Line,Unit Price,Quantity,Payment,Rating,Total,Tax
INV-0071,2023-03-12,Mumbai,C,Normal,Female,Fashion accessories,91.31,7,Cash,3.8,639.17,31.96
INV-0072,2023-03-13,Mumbai,C,Normal,Female,Sports and travel,22.37,5,Credit card,6.9,111.85,5.59
INV-0073,2023-03-14,Mumbai,C,Normal,Female,Fashion accessories,22.53,1,Ewallet,4.7,22.53,1.13
INV-0074,2023-03-15,Bangalore,A,Member,Female,Fashion accessories,82.67,5,Cash,8.4,413.35,20.67
INV-0075,2023-03-16,Mumbai,C,Normal,Female,Food and beverages,45.79,6,Ewallet,4.1,274.74,13.74
INV-0076,2023-03-17,Mumbai,A,Member,Female,Food and beverages,24.88,5,Credit card,1.2,124.4,6.22
INV-0077,2023-03-18,Delhi,C,Normal,Male,Food and beverages,93.48,3,Cash,6.2,280.44,14.02
INV-0078,2023-03-19,Mumbai,B,Normal,Male,Electronic accessories,41.3,1,Cash,6.9,41.3,2.06
INV-0079,2023-03-20,Mumbai,B,Normal,Male,Home and lifestyle,77.57,3,Credit card,6.8,232.71,11.64
INV-0080,2023-03-21,Mumbai,A,Normal,Male,Home and lifestyle,75.34,4,Ewallet,1.0,301.36,15.07
INV-0081,2023-03-22,Mumbai,C,Normal,Male,Food and beverages,89.5,7,Credit card,6.4,626.5,31.33
INV-0082,2023-03-23,Delhi,C,Member,Female,Food and beverages,66.13,9,Credit card,4.9,595.17,29.76
INV-0083,2023-03-24,Bangalore,B,Normal,Male,Food and beverages,77.58,8,Cash,1.4,620.64,31.03
INV-0084,2023-03-25,Mumbai,C,Member,Male,Food and beverages,41.4,3,Cash,7.3,124.2,6.21
INV-0085,2023-03-26,Delhi,B,Member,Male,Food and beverages,34.29,2,Cash,5.7,68.58,3.43
INV-0086,2023-03-27,Mumbai,A,Normal,Female,Food and beverages,90.63,4,Credit card,4.2,362.52,18.13
INV-0087,2023-03-28,Delhi,A,Normal,Male,Food and beverages,48.53,2,Credit card,6.7,97.06,4.85
INV-0088,2023-03-29,Mumbai,C,Member,Female,Food and beverages,96.84,3,Credit card,8.4,290.52,14.53
INV-0089,2023-03-30,Bangalore,A,Normal,Male,Health and Beauty,69.71,3,Cash,9.1,209.13,10.46
INV-0090,2023-03-31,Mumbai,A,Normal,Female,Fashion accessories,65.95,4,Credit card,6.8,263.8,13.19
INV-0091,2023-04-01,Bangalore,B,Normal,Male,Fashion accessories,20.33,3,Credit card,9.4,60.99,3.05
INV-0092,2023-04-02,Mumbai,B,Member,Male,Health and Beauty,95.45,7,Ewallet,8.4,668.15,33.41
INV-0093,2023-04-03,Bangalore,B,Normal,Female,Food and beverages,50.49,3,Cash,2.4,151.47,7.57
INV-0094,2023-04-04,Mumbai,A,Normal,Female,Fashion accessories,62.06,2,Credit card,2.0,124.12,6.21
INV-0095,2023-04-05,Delhi,C,Member,Female,Health and Beauty,46.73,2,Ewallet,5.8,93.46,4.67
INV-0096,2023-04-06,Bangalore,B,Normal,Female,Food and beverages,31.33,6,Ewallet,7.9,187.98,9.4
INV-0097,2023-04-07,Mumbai,B,Member,Female,Sports and travel,91.3,5,Credit card,7.9,456.5,22.83
INV-0098,2023-04-08,Mumbai,B,Member,Female,Fashion accessories,61.63,9,Cash,2.5,554.67,27.73
INV-0099,2023-04-09,Bangalore,B,Normal,Male,Electronic accessories,10.26,5,Cash,8.6,51.3,2.56
INV-0100,2023-04-10,Mumbai,C,Normal,Female,Sports and travel,65.54,8,Credit card,6.7,524.32,26.22
INV-0101,2023-04-11,Delhi,A,Normal,Female,Health and Beauty,39.4,3,Cash,8.7,118.2,5.91
INV-0102,2023-04-12,Mumbai,A,Member,Female,Fashion accessories,57.44,4,Cash,8.7,229.76,11.49
INV-0103,2023-04-13,Mumbai,B,Member,Female,Sports and travel,89.73,1,Cash,9.7,89.73,4.49
INV-0104,2023-04-14,Mumbai,C,Normal,Female,Home and lifestyle,42.15,6,Credit card,2.4,252.9,12.65
INV-0105,2023-04-15,Bangalore,B,Normal,Male,Health and Beauty,91.77,9,Ewallet,1.4,825.93,41.3
INV-0106,2023-04-16,Delhi,C,Member,Male,Health and Beauty,66.1,3,Credit card,5.7,198.3,9.92
INV-0107,2023-04-17,Delhi,A,Normal,Male,Fashion accessories,11.42,5,Credit card,7.3,57.1,2.86
INV-0108,2023-04-18,Delhi,C,Member,Female,Electronic accessories,93.65,1,Ewallet,1.2,93.65,4.68
INV-0109,2023-04-19,Delhi,B,Normal,Female,Sports and travel,72.18,1,Cash,4.7,72.18,3.61
INV-0110,2023-04-20,Mumbai,B,Normal,Male,Sports and travel,99.76,4,Credit card,1.6,399.04,19.95
INV-0111,2023-04-21,Delhi,C,Member,Female,Sports and travel,25.51,5,Credit card,8.5,127.55,6.38
INV-0112,2023-04-22,Bangalore,A,Normal,Female,Electronic accessories,22.34,7,Credit card,5.7,156.38,7.82
INV-0113,2023-04-23,Mumbai,A,Normal,Female,Electronic accessories,93.93,8,Credit card,9.4,751.44,37.57
INV-0114,2023-04-24,Mumbai,B,Member,Female,Fashion accessories,72.71,7,Cash,2.1,508.97,25.45
INV-0115,2023-04-25,Mumbai,A,Normal,Female,Food and beverages,15.94,9,Credit card,7.1,143.46,7.17
INV-0116,2023-04-26,Bangalore,A,Member,Male,Food and beverages,77.99,1,Cash,3.3,77.99,3.9
INV-0117,2023-04-27,Bangalore,B,Normal,Female,Home and lifestyle,77.85,9,Ewallet,5.1,700.65,35.03
INV-0118,2023-04-28,Mumbai,C,Member,Female,Health and Beauty,93.07,1,Credit card,7.7,93.07,4.65
INV-0119,2023-04-29,Delhi,B,Member,Female,Home and lifestyle,74.04,6,Credit card,4.4,444.24,22.21
INV-0120,2023-04-30,Delhi,A,Member,Female,Food and beverages,21.18,3,Cash,6.9,63.54,3.18
INV-0121,2023-05-01,Mumbai,A,Normal,Male,Sports and travel,11.79,1,Credit card,6.3,11.79,0.59
INV-0122,2023-05-02,Bangalore,B,Member,Male,Health and Beauty,12.36,9,Ewallet,3.6,111.24,5.56
INV-0123,2023-05-03,Bangalore,B,Normal,Male,Health and Beauty,12.55,7,Cash,6.5,87.85,4.39
INV-0124,2023-05-04,Bangalore,C,Normal,Female,Health and Beauty,32.16,2,Cash,5.7,64.32,3.22
INV-0125,2023-05-05,Mumbai,A,Normal,Female,Health and Beauty,87.4,6,Credit card,1.7,524.4,26.22
INV-0126,2023-05-06,Bangalore,C,Normal,Female,Sports and travel,58.49,1,Credit card,9.0,58.49,2.92
INV-0127,2023-05-07,Bangalore,A,Member,Male,Electronic accessories,59.75,1,Credit card,8.7,59.75,2.99
INV-0128,2023-05-08,Bangalore,C,Member,Male,Sports and travel,85.78,9,Credit card,8.4,772.02,38.6
INV-0129,2023-05-09,Mumbai,C,Member,Female,Electronic accessories,21.18,2,Ewallet,2.4,42.36,2.12
INV-0130,2023-05-10,Bangalore,A,Normal,Female,Home and lifestyle,35.13,4,Ewallet,9.9,140.52,7.03
INV-0131,2023-05-11,Delhi,C,Member,Female,Health and Beauty,62.72,8,Cash,7.3,501.76,25.09
INV-0132,2023-05-12,Delhi,B,Normal,Female,Home and lifestyle,97.26,6,Cash,6.0,583.56,29.18
INV-0133,2023-05-13,Delhi,B,Normal,Male,Fashion accessories,60.49,2,Cash,2.6,120.98,6.05
INV-0134,2023-05-14,Bangalore,C,Normal,Female,Sports and travel,11.68,3,Cash,9.4,35.04,1.75
INV-0135,2023-05-15,Delhi,B,Member,Female,Health and Beauty,82.06,7,Credit card,7.5,574.42,28.72
INV-0136,2023-05-16,Delhi,C,Member,Female,Fashion accessories,30.97,4,Ewallet,2.9,123.88,6.19
INV-0137,2023-05-17,Bangalore,B,Normal,Male,Health and Beauty,82.64,3,Credit card,2.0,247.92,12.4
INV-0138,2023-05-18,Delhi,A,Member,Male,Home and lifestyle,44.91,2,Ewallet,4.2,89.82,4.49
INV-0139,2023-05-19,Delhi,A,Member,Female,Electronic accessories,87.72,9,Cash,3.4,789.48,39.47
INV-0140,2023-05-20,Delhi,A,Normal,Female,Health and Beauty,77.24,7,Cash,9.2,540.68,27.03
INV-0141,2023-05-21,Delhi,C,Normal,Female,Food and beverages,60.06,6,Ewallet,5.5,360.36,18.02
INV-0142,2023-05-22,Bangalore,B,Normal,Male,Food and beverages,22.28,2,Ewallet,9.7,44.56,2.23
INV-0143,2023-05-23,Bangalore,B,Member,Female,Health and Beauty,15.39,6,Cash,9.8,92.34,4.62
INV-0144,2023-05-24,Mumbai,B,Member,Female,Electronic accessories,20.92,2,Cash,3.9,41.84,2.09
INV-0145,2023-05-25,Delhi,B,Normal,Female,Food and beverages,14.01,7,Ewallet,1.3,98.07,4.9
INV-0146,2023-05-26,Bangalore,C,Member,Female,Electronic accessories,19.67,4,Cash,1.0,78.68,3.93
INV-0147,2023-05-27,Delhi,A,Member,Male,Electronic accessories,30.31,1,Credit card,4.5,30.31,1.52
INV-0148,2023-05-28,Bangalore,A,Member,Male,Food and beverages,74.17,6,Credit card,3.9,445.02,22.25
INV-0149,2023-05-29,Delhi,C,Member,Male,Electronic accessories,60.37,8,Credit card,4.1,482.96,24.15
INV-0150,2023-05-30,Bangalore,C,Normal,Male,Sports and travel,11.13,4,Ewallet,3.1,44.52,2.23
INV-0151,2023-05-31,Mumbai,B,Normal,Female,Fashion accessories,16.48,3,Credit card,5.2,49.44,2.47
INV-0152,2023-06-01,Mumbai,A,Normal,Female,Food and beverages,97.05,5,Credit card,7.6,485.25,24.26
INV-0153,2023-06-02,Mumbai,A,Normal,Male,Food and beverages,61.13,5,Cash,4.2,305.65,15.28
INV-0154,2023-06-03,Mumbai,B,Normal,Female,Electronic accessories,28.3,5,Ewallet,9.1,141.5,7.08
INV-0155,2023-06-04,Mumbai,B,Member,Male,Fashion accessories,32.71,5,Credit card,6.4,163.55,8.18
INV-0156,2023-06-05,Delhi,A,Member,Male,Home and lifestyle,76.94,9,Cash,2.0,692.46,34.62
INV-0157,2023-06-06,Mumbai,C,Normal,Female,Fashion accessories,27.59,2,Cash,2.5,55.18,2.76
INV-0158,2023-06-07,Delhi,A,Member,Female,Health and Beauty,62.32,7,Credit card,1.5,436.24,21.81
INV-0159,2023-06-08,Mumbai,C,Normal,Female,Fashion accessories,97.3,7,Ewallet,2.7,681.1,34.06
INV-0160,2023-06-09,Bangalore,B,Member,Male,Fashion accessories,86.21,8,Cash,5.0,689.68,34.48
INV-0161,2023-06-10,Mumbai,A,Member,Female,Sports and travel,31.59,3,Credit card,2.6,94.77,4.74
INV-0162,2023-06-11,Bangalore,B,Normal,Male,Home and lifestyle,54.44,5,Credit card,8.1,272.2,13.61
INV-0163,2023-06-12,Mumbai,A,Member,Male,Fashion accessories,65.8,6,Cash,2.2,394.8,19.74
INV-0164,2023-06-13,Bangalore,C,Normal,Male,Food and beverages,84.61,8,Ewallet,4.8,676.88,33.84
INV-0165,2023-06-14,Mumbai,A,Normal,Female,Health and Beauty,24.11,4,Cash,7.1,96.44,4.82
INV-0166,2023-06-15,Mumbai,A,Member,Female,Health and Beauty,11.67,8,Credit card,8.2,93.36,4.67
INV-0167,2023-06-16,Delhi,A,Member,Female,Fashion accessories,16.3,2,Ewallet,9.3,32.6,1.63
INV-0168,2023-06-17,Bangalore,C,Normal,Male,Food and beverages,53.77,7,Credit card,6.7,376.39,18.82
INV-0169,2023-06-18,Bangalore,A,Normal,Male,Sports and travel,64.57,8,Ewallet,8.1,516.56,25.83
INV-0170,2023-06-19,Bangalore,A,Member,Female,Home and lifestyle,61.2,5,Cash,3.8,306.0,15.3
INV-0171,2023-06-20,Bangalore,B,Normal,Female,Fashion accessories,38.56,9,Cash,1.9,347.04,17.35
INV-0172,2023-06-21,Bangalore,A,Member,Male,Health and Beauty,98.98,8,Cash,8.9,791.84,39.59
INV-0173,2023-06-22,Delhi,A,Normal,Female,Sports and travel,62.18,1,Credit card,9.2,62.18,3.11
INV-0174,2023-06-23,Delhi,C,Member,Male,Home and lifestyle,44.21,5,Cash,6.3,221.05,11.05
INV-0175,2023-06-24,Bangalore,B,Member,Female,Fashion accessories,59.59,2,Cash,8.8,119.18,5.96
INV-0176,2023-06-25,Bangalore,A,Normal,Male,Sports and travel,77.08,8,Credit card,6.9,616.64,30.83
INV-0177,2023-06-26,Delhi,B,Normal,Female,Sports and travel,70.23,9,Cash,8.9,632.07,31.6
INV-0178,2023-06-27,Delhi,A,Member,Male,Food and beverages,33.84,7,Credit card,3.2,236.88,11.84
INV-0179,2023-06-28,Delhi,A,Normal,Female,Health and Beauty,15.97,2,Ewallet,9.4,31.94,1.6
INV-0180,2023-06-29,Delhi,B,Normal,Male,Sports and travel,43.31,9,Cash,6.2,389.79,19.49
INV-0181,2023-06-30,Bangalore,B,Normal,Female,Home and lifestyle,66.67,4,Credit card,2.1,266.68,13.33
INV-0182,2023-07-01,Bangalore,B,Member,Male,Food and beverages,28.92,5,Credit card,6.6,144.6,7.23
INV-0183,2023-07-02,Delhi,A,Normal,Female,Sports and travel,77.75,8,Credit card,4.1,622.0,31.1
INV-0184,2023-07-03,Delhi,C,Normal,Female,Sports and travel,15.99,3,Credit card,9.0,47.97,2.4
INV-0185,2023-07-04,Delhi,C,Member,Female,Home and lifestyle,33.43,3,Credit card,9.3,100.29,5.01
INV-0186,2023-07-05,Delhi,A,Member,Male,Sports and travel,82.43,7,Credit card,9.4,577.01,28.85
INV-0187,2023-07-06,Bangalore,A,Member,Male,Food and beverages,27.41,2,Ewallet,3.0,54.82,2.74
INV-0188,2023-07-07,Mumbai,C,Member,Male,Sports and travel,67.55,3,Cash,7.1,202.65,10.13
INV-0189,2023-07-08,Delhi,A,Normal,Female,Home and lifestyle,57.22,3,Cash,7.5,171.66,8.58
INV-0190,2023-07-09,Bangalore,B,Member,Male,Food and beverages,93.23,2,Ewallet,3.7,186.46,9.32
INV-0191,2023-07-10,Mumbai,B,Normal,Male,Health and Beauty,33.7,6,Credit card,4.6,202.2,10.11
INV-0192,2023-07-11,Delhi,A,Member,Female,Home and lifestyle,15.94,6,Ewallet,3.4,95.64,4.78
INV-0193,2023-07-12,Bangalore,B,Member,Male,Home and lifestyle,76.16,3,Ewallet,5.0,228.48,11.42
INV-0194,2023-07-13,Bangalore,B,Normal,Male,Fashion accessories,79.5,4,Ewallet,5.9,318.0,15.9
INV-0195,2023-07-14,Delhi,B,Member,Female,Food and beverages,91.7,4,Ewallet,1.8,366.8,18.34
INV-0196,2023-07-15,Bangalore,B,Member,Female,Health and Beauty,93.88,4,Cash,1.5,375.52,18.78
INV-0197,2023-07-16,Delhi,A,Member,Male,Food and beverages,11.26,1,Ewallet,5.4,11.26,0.56
INV-0198,2023-07-17,Bangalore,C,Member,Male,Food and beverages,31.09,6,Credit card,5.8,186.54,9.33
INV-0199,2023-07-18,Mumbai,C,Member,Female,Fashion accessories,65.51,4,Cash,3.1,262.04,13.1
INV-0200,2023-07-19,Mumbai,A,Member,Female,Food and beverages,95.41,2,Cash,4.2,190.82,9.54
INV-0201,2023-07-20,Bangalore,B,Member,Male,Fashion accessories,95.52,1,Ewallet,6.9,95.52,4.78
INV-0202,2023-07-21,Mumbai,B,Normal,Female,Food and beverages,60.1,7,Cash,1.3,420.7,21.04
INV-0203,2023-07-22,Delhi,B,Member,Female,Health and Beauty,92.4,5,Cash,6.8,462.0,23.1
INV-0204,2023-07-23,Mumbai,B,Normal,Male,Home and lifestyle,67.74,4,Credit card,9.8,270.96,13.55
INV-0205,2023-07-24,Mumbai,C,Normal,Male,Fashion accessories,45.1,2,Ewallet,4.0,90.2,4.51
INV-0206,2023-07-25,Mumbai,A,Member,Male,Sports and travel,53.74,6,Cash,4.4,322.44,16.12
INV-0207,2023-07-26,Delhi,B,Normal,Female,Fashion accessories,64.39,6,Credit card,9.8,386.34,19.32
INV-0208,2023-07-27,Bangalore,B,Normal,Female,Health and Beauty,59.46,1,Cash,1.3,59.46,2.97
INV-0209,2023-07-28,Delhi,B,Member,Female,Home and lifestyle,93.36,7,Cash,7.0,653.52,32.68
INV-0210,2023-07-29,Bangalore,C,Member,Male,Sports and travel,92.69,8,Ewallet,6.6,741.52,37.08
INV-0211,2023-07-30,Delhi,A,Normal,Male,Fashion accessories,45.54,9,Cash,1.4,409.86,20.49
INV-0212,2023-07-31,Delhi,A,Member,Male,Sports and travel,96.69,3,Credit card,6.6,290.07,14.5
INV-0213,2023-08-01,Mumbai,C,Member,Male,Food and beverages,25.66,9,Ewallet,6.9,230.94,11.55
INV-0214,2023-08-02,Mumbai,A,Normal,Male,Fashion accessories,21.37,6,Credit card,3.3,128.22,6.41
INV-0215,2023-08-03,Delhi,C,Normal,Female,Fashion accessories,22.16,1,Cash,6.9,22.16,1.11
INV-0216,2023-08-04,Delhi,A,Normal,Male,Fashion accessories,55.51,9,Cash,4.2,499.59,24.98
INV-0217,2023-08-05,Bangalore,C,Normal,Male,Home and lifestyle,11.94,3,Credit card,9.5,35.82,1.79
INV-0218,2023-08-06,Mumbai,C,Normal,Male,Sports and travel,95.32,9,Credit card,3.5,857.88,42.89
INV-0219,2023-08-07,Delhi,A,Member,Male,Health and Beauty,84.44,5,Credit card,9.1,422.2,21.11
INV-0220,2023-08-08,Mumbai,C,Member,Male,Fashion accessories,11.35,2,Cash,6.3,22.7,1.14
INV-0221,2023-08-09,Delhi,A,Normal,Female,Food and beverages,25.86,3,Cash,7.3,77.58,3.88
INV-0222,2023-08-10,Mumbai,B,Normal,Female,Fashion accessories,39.89,2,Cash,10.0,79.78,3.99
INV-0223,2023-08-11,Mumbai,B,Normal,Female,Health and Beauty,21.79,7,Cash,9.7,152.53,7.63
INV-0224,2023-08-12,Mumbai,B,Normal,Male,Fashion accessories,82.85,6,Ewallet,1.7,497.1,24.86
INV-0225,2023-08-13,Delhi,C,Normal,Female,Health and Beauty,41.03,1,Ewallet,3.4,41.03,2.05
INV-0226,2023-08-14,Mumbai,B,Normal,Male,Health and Beauty,94.61,7,Cash,1.1,662.27,33.11
INV-0227,2023-08-15,Delhi,A,Normal,Male,Home and lifestyle,62.38,2,Ewallet,8.2,124.76,6.24
INV-0228,2023-08-16,Delhi,C,Normal,Female,Home and lifestyle,89.09,1,Cash,9.4,89.09,4.45
INV-0229,2023-08-17,Mumbai,A,Member,Female,Sports and travel,86.03,2,Credit card,5.9,172.06,8.6
INV-0230,2023-08-18,Delhi,C,Member,Male,Sports and travel,91.49,4,Ewallet,7.2,365.96,18.3
INV-0231,2023-08-19,Delhi,A,Normal,Female,Fashion accessories,51.39,6,Credit card,2.7,308.34,15.42
INV-0232,2023-08-20,Bangalore,C,Member,Female,Food and beverages,59.17,5,Credit card,9.5,295.85,14.79
INV-0233,2023-08-21,Bangalore,A,Normal,Male,Food and beverages,81.87,8,Ewallet,9.9,654.96,32.75
INV-0234,2023-08-22,Bangalore,B,Normal,Male,Health and Beauty,35.71,7,Cash,3.2,249.97,12.5
INV-0235,2023-08-23,Bangalore,B,Member,Male,Fashion accessories,54.12,5,Ewallet,9.4,270.6,13.53
INV-0236,2023-08-24,Bangalore,A,Member,Female,Home and lifestyle,63.92,3,Ewallet,9.9,191.76,9.59
INV-0237,2023-08-25,Bangalore,B,Normal,Male,Sports and travel,11.4,4,Cash,1.7,45.6,2.28
INV-0238,2023-08-26,Delhi,C,Normal,Male,Food and beverages,63.41,3,Cash,5.7,190.23,9.51
INV-0239,2023-08-27,Delhi,A,Normal,Male,Home and lifestyle,49.03,9,Ewallet,9.9,441.27,22.06
INV-0240,2023-08-28,Mumbai,A,Normal,Female,Fashion accessories,82.66,5,Cash,8.3,413.3,20.67
